,minicluster_size,mpitype,runtime,analysis,ranks
kubernetes-8/ompi/size_6_ring_usempi-noaff/mpis-6-ring_usempi-noaff-17,6,ompi,1.821058750152588,ring_usempi-noaff,336
kubernetes-8/ompi/size_6_ring_usempi-noaff/mpis-6-ring_usempi-noaff-11,6,ompi,1.568774700164795,ring_usempi-noaff,336
kubernetes-8/ompi/size_6_ring_usempi-noaff/mpis-6-ring_usempi-noaff-7,6,ompi,1.6372125148773193,ring_usempi-noaff,336
kubernetes-8/ompi/size_6_ring_usempi-noaff/mpis-6-ring_usempi-noaff-5,6,ompi,1.643960952758789,ring_usempi-noaff,336
kubernetes-8/ompi/size_6_ring_usempi-noaff/mpis-6-ring_usempi-noaff-12,6,ompi,1.6716372966766357,ring_usempi-noaff,336
kubernetes-8/ompi/size_6_ring_usempi-noaff/mpis-6-ring_usempi-noaff-0,6,ompi,1.545722484588623,ring_usempi-noaff,336
kubernetes-8/ompi/size_6_ring_usempi-noaff/mpis-6-ring_usempi-noaff-19,6,ompi,1.5706291198730469,ring_usempi-noaff,336
kubernetes-8/ompi/size_6_ring_usempi-noaff/mpis-6-ring_usempi-noaff-4,6,ompi,1.6569242477416992,ring_usempi-noaff,336
kubernetes-8/ompi/size_6_ring_usempi-noaff/mpis-6-ring_usempi-noaff-18,6,ompi,1.6506497859954834,ring_usempi-noaff,336
kubernetes-8/ompi/size_6_ring_usempi-noaff/mpis-6-ring_usempi-noaff-10,6,ompi,1.6497981548309326,ring_usempi-noaff,336
kubernetes-8/ompi/size_6_ring_usempi-noaff/mpis-6-ring_usempi-noaff-9,6,ompi,1.5398633480072021,ring_usempi-noaff,336
kubernetes-8/ompi/size_6_ring_usempi-noaff/mpis-6-ring_usempi-noaff-6,6,ompi,1.6049857139587402,ring_usempi-noaff,336
kubernetes-8/ompi/size_6_ring_usempi-noaff/mpis-6-ring_usempi-noaff-3,6,ompi,1.5937678813934326,ring_usempi-noaff,336
kubernetes-8/ompi/size_6_ring_usempi-noaff/mpis-6-ring_usempi-noaff-2,6,ompi,1.5653612613677979,ring_usempi-noaff,336
kubernetes-8/ompi/size_6_ring_usempi-noaff/mpis-6-ring_usempi-noaff-8,6,ompi,1.635697841644287,ring_usempi-noaff,336
kubernetes-8/ompi/size_2_ring_c-noaff/mpis-2-ring_c-noaff-9,2,ompi,1.254934549331665,ring_c-noaff,112
kubernetes-8/ompi/size_2_ring_c-noaff/mpis-2-ring_c-noaff-5,2,ompi,1.3478291034698486,ring_c-noaff,112
kubernetes-8/ompi/size_2_ring_c-noaff/mpis-2-ring_c-noaff-13,2,ompi,1.3614916801452637,ring_c-noaff,112
kubernetes-8/ompi/size_2_ring_c-noaff/mpis-2-ring_c-noaff-15,2,ompi,1.3681175708770752,ring_c-noaff,112
kubernetes-8/ompi/size_2_ring_c-noaff/mpis-2-ring_c-noaff-10,2,ompi,1.3170394897460938,ring_c-noaff,112
kubernetes-8/ompi/size_2_ring_c-noaff/mpis-2-ring_c-noaff-7,2,ompi,1.3081839084625244,ring_c-noaff,112
kubernetes-8/ompi/size_2_ring_c-noaff/mpis-2-ring_c-noaff-8,2,ompi,1.2734723091125488,ring_c-noaff,112
kubernetes-8/ompi/size_2_ring_c-noaff/mpis-2-ring_c-noaff-0,2,ompi,1.5315401554107666,ring_c-noaff,112
kubernetes-8/ompi/size_2_ring_c-noaff/mpis-2-ring_c-noaff-6,2,ompi,1.2588083744049072,ring_c-noaff,112
kubernetes-8/ompi/size_2_ring_c-noaff/mpis-2-ring_c-noaff-16,2,ompi,1.3509314060211182,ring_c-noaff,112
kubernetes-8/ompi/size_2_ring_c-noaff/mpis-2-ring_c-noaff-1,2,ompi,1.425112247467041,ring_c-noaff,112
kubernetes-8/ompi/size_2_ring_c-noaff/mpis-2-ring_c-noaff-17,2,ompi,1.2408208847045898,ring_c-noaff,112
kubernetes-8/ompi/size_2_ring_c-noaff/mpis-2-ring_c-noaff-11,2,ompi,1.340202808380127,ring_c-noaff,112
kubernetes-8/ompi/size_2_ring_c-noaff/mpis-2-ring_c-noaff-3,2,ompi,1.2874314785003662,ring_c-noaff,112
